blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,action,auth_acc,obligation_acc,market
1642170278,116223802,4Zau9LthFJ5r43dn1Gfmap6F5Sg99u5gUbHAySzPovJZ4iGhvjpEjewnjJZBEAsihcvSBeSaHERXH8R1mTUhfQEG,DPDyr8RCSVAR3EC9dmaAhjRKMsqw946nceDPEbq6SbNN,,,SOL,-4.0,DepositReserveLiquidityAndObligationCollateral,DPDyr8RCSVAR3EC9dmaAhjRKMsqw946nceDPEbq6SbNN,AwPKXh8EFMDZZccQK1e4gnhbUnBUJWpLwwLZA8VVqMKY,main
1642143321,116178369,f5666fgDnPJ982jwjx8wqtxfVBzQW3MRChAqsujRWSL3qi3Bcc4BPWVMRJLxZn6mSJD8SSoXNjfKfFEpXf4DDGa,2odtZSnr9seBst7jM82SXSJrm846eXKp3HygCb2iFUjW,SOL,8.577924907,,,BorrowObligationLiquidity,,8ZtGtKkRrAnvGaZ1kFseEv24vYPdsMRdytwMcePutCHi,main
1642123941,116144333,3CwqTRBpec8D9DJqpSceZ5VSrqZ7v5b2rT6nhTpeDUh9djZ7w7dHzK8xiUhB5U2JKUYaT9gsBhP9HJ6y7n3YGvbY,BBg2oPjjb6UWEhG5MmLKxnsKR7UyQKtRM3LU6W55GKNP,,,USDT,-500.0,DepositReserveLiquidityAndObligationCollateral,BBg2oPjjb6UWEhG5MmLKxnsKR7UyQKtRM3LU6W55GKNP,95z9oMuJKBG2mftFyrM6WRpTsvHtB28SabMBK6bG3Gv1,main
1642153215,116195318,4LfiWVLWD2LgcQTM4SNTbjKDvchsekB6tbdbCbnae9qX1ryCTziosvAWKgmNaD19X2rcwTmoxEGKPvEYWTyLs6ZP,BrEhFKAN7b28sjuTwykag3osBRp1iYbWFaxkragrk7WS,SOL,600.000017153,,,WithdrawObligationCollateralAndRedeemReserveCollateral,BrEhFKAN7b28sjuTwykag3osBRp1iYbWFaxkragrk7WS,5FQmLHJAbFcySeqbee2A7GiTMoMQyYT9FU7oNC8VPHsL,main
1642162281,116210521,3v5W5WHrBd7wKb8h9dxFiUchnDWMDhYYPaKtnFAA39cpeFuT1zAsvrRJEcYsHUdDPZRSAVCEc1eQgoLZrKbgbZLw,23zH2S4evizKt53yKiC6warV1k5Jmh7aG9peMudNGtEJ,,,ETH,-0.49802235,DepositReserveLiquidityAndObligationCollateral,23zH2S4evizKt53yKiC6warV1k5Jmh7aG9peMudNGtEJ,Ce8edXpAC7Trijkug3N7nDxjhL37bWXQMhFMrmYSb6jA,main
1642130543,116156235,vfrPRHWUoUd624eY1xRBgeTxmytk88TMfhsCrnbnSe18AsULQr5G2T12VZ4SJ7uQH6pwEAVAr7NzXcxTEkUrCcM,HTwFpGL3cWm6yWq445w4xyYVfXEoRg5Y97Bzrk8FPiEJ,USDC,634.752768,,,WithdrawObligationCollateralAndRedeemReserveCollateral,HTwFpGL3cWm6yWq445w4xyYVfXEoRg5Y97Bzrk8FPiEJ,79fxPNHC4DDnM6bmc5V4chbmx39N5mznSJ4ky341v6Yb,main
1642141129,116174721,ArW51aC51VwuF4THr58Jt5eKKh8pZBjNmsSS4gtjSqkHEcZ3Tps9yawiRNjaGemuJZggDwvEzej6Ax56jBZoyWZ,3HToxPGwUds9CDr5C4uJqjsx67yaSitKJspeQu6JfD48,USDC,199.0,,,BorrowObligationLiquidity,,3xJDfa7ssuHGoVw2bMNSizAEjNLfaXd97adkCVKhV11c,main
1642138239,116169766,5kf5uZfoS6bCT9kXz28FUrHJ35w2mmjNuw9HEq72gr4npXQWDEDb19yUPUUf5AUSv4djQGTxr1Ycvb1SNvzWTVpw,5uTDJaQYRfLqi7rZr2kJ14DuHotWwRYhEFkBw5gjYoCw,USDT,1000.000056,,,WithdrawObligationCollateralAndRedeemReserveCollateral,5uTDJaQYRfLqi7rZr2kJ14DuHotWwRYhEFkBw5gjYoCw,FpKNEpLC2HRziYCz8PW3ufLcvU647ckcjJoMk52S46Di,main
1642184119,116245881,3ZArzPU6yDDiQJGYnqEL7GyoxgXWKq6brQfTdhbTtQAZBhj1n6uVFtUWTE6ry9R2Stb1DF9oAqCD1NLA7f5m49jp,7HRzigVEeP8VJEuBAWRm125UtVXBv9owLZUtFzkNF2c5,USDT,150.00004199999998,,,WithdrawObligationCollateralAndRedeemReserveCollateral,7HRzigVEeP8VJEuBAWRm125UtVXBv9owLZUtFzkNF2c5,3jvhSey4on1zKV5Ynond4HXRUbwZWUatdD3NsXdFuKjS,main
1642129236,116153862,5cVTxBzTwrMFfcvhKhEw7kADxmVHbwFJpEj9twV4ZNCrBnEThn15B1f7YpknwCzjnsiZrABhDQiRLJ2hVopX6abn,6fHQWNb66qMRrbQN2PsxSd7nwDhk52qjedgJXoZssREF,,,RAY,-27.598602,DepositReserveLiquidityAndObligationCollateral,6fHQWNb66qMRrbQN2PsxSd7nwDhk52qjedgJXoZssREF,9pRgDGSXoTTpChNmo9W9yJHTSPEj68ydnDhnjLWAXF35,main
