blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,collat_change_token_name,collat_change_amt,action,auth_acc,obligation_acc,market
1636507020,106106460,5pJdxEcXW4NXXgLN74fzx6dM5upuHjLneLGhLrXG7mH847sXefSrR49YGB2G6GC5RPNgQARjMm1XD21is3EhThYr,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,USDC,-6.599999999999999e-05,cUSDC,6.5e-05,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636518638,106129475,2jxEFtmQgYQhJwTVDz5sAnYRVZ5efXd1qHjpCfv3mmo4qpBQLThMeMTmQAiP396rPhkYNyijcV8gUZMz1U8nZwoR,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,USDC,6.599999999999999e-05,,,cUSDC,-6.5e-05,WithdrawObligationCollateralAndRedeemReserveCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636518951,106130105,46M7s8mUBB87w6VZ4wDQNdRFozpCLoPYbd1WT3zsiuKGVqPNpo7FDaYuLs9rwEBYNFFmB2aUMaswVAcKqJVwsCj7,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,137.861583,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636519570,106131338,59akqn4h4pbqE24M1HFbDh9Ts3ufdrKyc2XgsF2tBzc76Vpifa51uHwpKUnqU4pvymzsGE5L7xKhmdcLduQ1xjvi,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,soETH,-0.493398,csoETH,0.49084999999999995,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636519593,106131383,ZBCAhJXFXKcMEC9xrjA9yDMignsSnczyGCMRX9is9eH7B3ZHTGqdJ9pYFSmBDQNsbbTWk97wUVq5kyAbVS1WnRP,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.064561,cBTC,0.064357,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636520753,106133711,mizQXZJNHiMNvyFrTxh3Yt1Prc1RpEkV5uuwdsDYKmwkbJKwuJGCcimFAzPvfRVKBkkN7eEJYcdYK56w8eAp3c8,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,50.0,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636521488,106135144,3nPrHeufc1gYud1mM9cJoDUqPRCeRvymxXFtrUYEkzu8mi1dbr58V7KbDpXGTcJkhJhUHcdijVvi7AafvDQf3DX3,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,SOL,-3.222199101,cSOL,3.214804715,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636521715,106135590,51JoJd36PFMEDdkFvkESTb72c2evZSfPZ5fdkq8PZ5qyTzSd1k4gXa5fw3v9TPvzmXW7o6pC3jzP8qh7byQb4mbj,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,SOL,0.050000008000000006,,,cSOL,-0.049885257,WithdrawObligationCollateralAndRedeemReserveCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636521792,106135743,3wtPUGsz77hwTxPaDXVBGmHebmrdZc4PPQxKZkPuY7oLHNFwTBBWYRnYMauwUUzJQyxrFmxY2ptg7Mm6jbYTrWbP,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,soETH,-0.147136,csoETH,0.146376,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636521889,106135932,2e3XRdaRjthB18jgTuKpp47N7NrddUpnrhvWaZ5AoScqRhtvHa9QY7qgp2Pap7bJVtFX4peYz2dp4XWGXWnA9JBx,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,40.470600999999995,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
